character #1, character #2, similarity
3, H, 0.4146243067771027
H, 3, 0.4146243067771027
R, H, 0.5225661907638581
H, R, 0.5225661907638581
E, H, 0.5545387349080672
H, E, 0.5545387349080672
G, H, 0.5371942958586258
H, G, 0.5371942958586258
P, H, 0.5520099866372389
H, P, 0.5520099866372389
1, H, 0.2741105816883281
H, 1, 0.2741105816883281
w, H, 0.4606209322973488
H, w, 0.4606209322973488
0, H, 0.5371551970390999
H, 0, 0.5371551970390999
Q, H, 0.47886191629596375
H, Q, 0.47886191629596375
F, H, 0.5997072452139286
H, F, 0.5997072452139286
b, H, 0.5857380272609692
H, b, 0.5857380272609692
m, x, 0.44958972004825226
x, m, 0.44958972004825226
I, x, 0.1893383372250332
x, I, 0.1893383372250332
Z, x, 0.4180898211487223
x, Z, 0.4180898211487223
M, x, 0.47875292031549366
x, M, 0.47875292031549366
l, x, 0.2397031986734264
x, l, 0.2397031986734264
y, x, 0.4117620522996603
x, y, 0.4117620522996603
L, x, 0.2732256556811823
x, L, 0.2732256556811823
Y, x, 0.474394121853238
x, Y, 0.474394121853238
8, x, 0.5143426928023603
x, 8, 0.5143426928023603
N, x, 0.47956164508946864
x, N, 0.47956164508946864
u, x, 0.4366423931114403
x, u, 0.4366423931114403
O, x, 0.3478030408458714
x, O, 0.3478030408458714
9, x, 0.4147605106806462
x, 9, 0.4147605106806462
X, x, 0.619933258200525
x, X, 0.619933258200525
k, x, 0.6541220313473486
x, k, 0.6541220313473486
r, x, 0.4030195342013126
x, r, 0.4030195342013126
g, x, 0.4929039639866476
x, g, 0.4929039639866476
f, x, 0.40205657486686974
x, f, 0.40205657486686974
s, x, 0.5531594353984549
x, s, 0.5531594353984549
j, x, 0.28481365778145457
x, j, 0.28481365778145457
i, x, 0.3065313364132581
x, i, 0.3065313364132581
e, x, 0.4807466164017247
x, e, 0.4807466164017247
p, x, 0.43007842405405905
x, p, 0.43007842405405905
q, x, 0.39915822681135565
x, q, 0.39915822681135565
d, x, 0.42672732544664693
x, d, 0.42672732544664693
h, x, 0.3770594863530401
x, h, 0.3770594863530401
U, x, 0.3253893415234259
x, U, 0.3253893415234259
4, x, 0.5654619506055715
x, 4, 0.5654619506055715
c, x, 0.5073452373255357
x, c, 0.5073452373255357
B, x, 0.4416244906098475
x, B, 0.4416244906098475
v, x, 0.517862404956435
x, v, 0.517862404956435
C, x, 0.29822761027168376
x, C, 0.29822761027168376
5, x, 0.3818760771014374
x, 5, 0.3818760771014374
T, x, 0.33345508561882725
x, T, 0.33345508561882725
V, x, 0.4573060648421636
